RowID,UserID,TweetID,Text
59,19234329,703987335478812672,@debreese I (a Native reader) cringe when I imagine white "colonists" gleefully singing "We are here to stay."
60,19234329,703987475413385220,@debreese And
61,19234329,703987706943164417,@debreese And I cringe some more when I read joyous references to WIZARD OF OZ. Its author wrote abt exterminating Native ppl.
62,19234329,703989106347524097,@JessLif I think it teaches them a terrific skill: to be critical of what they are offered
63,19234329,703993214576017410,@MsGoldmanQAE Thank you for retweeting this! I hope you can submit a letter.
64,19234329,703994552361869313,Dear Writers: You love Wizard of Oz; you include it in your bk. I see it/cringe bc Baum wanted to exterminate Native ppl. Pls rethink that.
65,19234329,703996552721915907,@GabrielleSaraP https://t.co/EoWocaWOaP
66,19234329,703996739074846720,Dear Writers/Editors who don't know Baum wanted to exterminate Native ppls
67,19234329,703997221855961088,Dear Writers/Editors who don't know Baum wanted to exterminate Native ppls
68,19234329,704010989868617733,RT @citymousedc: Customer came in today for The Birchbark House
69,19234329,704059199240728576,Debbie--have you seen.... Danna Smith's ARCTIC WHITE https://t.co/JftRgjZXAM
70,19234329,704060348773617665,@planet_alaska &amp; @ayatlin
71,19234329,704060663530913793,@planet_alaska @ayatlin ...went to Palmer Alaska. Characters sing "We are here to stay." No Native presence at all in bk.
72,19234329,704060928413868032,@planet_alaska @ayatlin It is like no Alaska Natives there at all
73,19234329,704062390099382272,RT @kerrywashington: WOW.  https://t.co/2G3j1ePYZa
74,19234329,704062435041394690,RT @LeslieMac: ?? ?? #inquiringminds want to know. Shame on you @MSNBC  https://t.co/pROUnl8Tzx
75,19234329,704062609931280385,RT @teachingchange: Join us and spread the word. #StepUpScholastic for ALL children https://t.co/f1yfBVLEv3
76,19234329,704063655239925760,Mon. 2/29/16: Join @LeslieMac &amp; @teachingchange for #StepUpScholastic chat @ 7PM EST. https://t.co/iGsMRSuTkm https://t.co/DOu0zU5mlb
77,19234329,704069996113240064,See letter to #Scholastic
78,19234329,704070741067751426,The #OscarsSoWhite &amp; #ScholasticSoWhite
79,19234329,704087968814858240,@planet_alaska
80,19234329,704091163989561344,@planet_alaska Ok. Alcohol is overrepresented in kids bks abt Native ppl. Here's one: https://t.co/dbDQ8IGWkN  @ayatlin
81,19234329,704091535604912130,@planet_alaska Rubbing noses a billion times in this one: https://t.co/AxgDNaurkX @ayatlin
82,19234329,704091760805412864,@planet_alaska Romanticized
83,19234329,704091938451005440,@planet_alaska Then there's the ones that just won't go out of print: https://t.co/aVrna6TjaC  @ayatlin
84,19234329,704092478505426945,@planet_alaska And lot of random things like in this book: https://t.co/IyliRDBLbA @ayatlin
85,19234329,704093899552329728,Reading this about REVENANT: https://t.co/mcEpvJHiN1
86,19234329,704096026609786881,RT @CrazyQuilts: book review: My Name is Henry?Bibb https://t.co/fpiSLSm2LV
87,19234329,704096116405567488,RT @CynLeitichSmith: Did you know about the enslavement of #NativeAmericans? See @debreese via @CrazyQuilts: https://t.co/eLVXZcFgiL https:?
88,19234329,704096539111772160,Review notes what is missing from the story: Native people.  https://t.co/BHQVtuQOfM
89,19234329,704102619187388416,"go see the Indians"  https://t.co/iRK35A4Aqt
90,19234329,704107901544218626,Hey #titletalk
91,19234329,704108504181829632,And
92,19234329,704109294225068032,Last year
93,19234329,704110461701197825,#titletalk - Debbie Reese
94,19234329,704111062514331648,RT @thebrainlair: A1: In addition - I like to introduce/remind students that the public library has Overdrive for ebooks and audiobooks. #t?
95,19234329,704111183389970434,RT @ProfessorNana: Remember that YA Sync will have two free audios a week this summer. #titletalk
96,19234329,704111888255361026,I wish we had access to lists to see if they're fresh
97,19234329,704112110394019840,RT @OsamudiaJ: In the Amazon shopping cart SkySisters goes! TY for the review and alternate recommendation! https://t.co/NfOTvYRhgp
98,19234329,704114685323452418,For summer rdg
99,19234329,704114962344574978,How abt summer rdng bklist of those that feature concerts/music? Like Gansworth's IF I EVER GET OUT OF HERE https://t.co/km5VzBIWyX
100,19234329,704115170801524736,Or
101,19234329,704115370840481792,Or
102,19234329,704115592995979264,RT @k8mayo: #truth We took a chance with this last summer and saw great results! #titletalk  https://t.co/iDNUnon8z2
103,19234329,704118441675001856,#titletalk
104,19234329,704119479010201601,#titletalk
105,19234329,704119905923305472,#titletalk
106,19234329,704120963638673409,#titletalk - The @RIFWEB ppl have great materials/info: https://t.co/ePjcWS2Jvw
107,19234329,704121436500267009,#titletalk
108,19234329,704122278691401728,#titletalk
109,19234329,704122467535740928,@NancyNms029 Can we skip the Thanksgiving one cuz... stereotypes!  @ProfessorNana
110,19234329,704122674201698306,@MWLibraryDiva If it is a Scholastic bookfair
111,19234329,704122899414831104,@vrkimmel Sharing a Native review of HIRED GIRL: https://t.co/tVp7CYmCrw  @maddieschnurr
112,19234329,704123238499160064,Oh
113,19234329,704123561464692737,Yes
114,19234329,704125428261322752,@librarygrl2 A wide range of style of storytelling
115,19234329,704129164429926401,RT @Tolerance_org: Get even smarter this weekend! https://t.co/2arLBj7ftV https://t.co/qcNYgLFHJJ
116,19234329,704257248621559808,Debbie--have you seen.... Danna Smith's ARCTIC WHITE https://t.co/sQOMm0gNlo
117,19234329,704273723302383616,RT @cara102: before I started at APTN
118,19234329,704273969554264064,RT @DCSamantha: #NEASummit #NativeYouth #NativeEd https://t.co/oroaLsF5eH
119,19234329,704280775013707776,RT @callresponseus: Check out this interview with @KimTallBear on @Roundhouse983 on love and relations beyond settler colonialism! https://?
120,19234329,704280839366926336,RT @adamgaudry: Indigenous Feminisms Power Panel in #yxe: with @KimTallBear
RSVP: https:?,2016-02-29 12:23:31,12,True
121,19234329,704285561909972993,RT @lowsell: Grace Dove
122,19234329,704354912281341952,@gildedspine Sing
123,19234329,704356787323994112,Writing While Black/Writing While Indigenous: Two voices speak on excellence https://t.co/dhwsZH1cp2 via @zettaelliott
124,19234329,704357887443730432,Tonight (2/29/16) at 7PM Eastern: #StepUpScholastic chat w @LeslieMac and @teachingchange https://t.co/2e6owICylR
125,19234329,704358243678597121,@diversebooks &amp; @ReadWhileWhite
126,19234329,704361893494796288,Check out the "Debbie--have you seen" tag @ American Indians in Children's Literature. https://t.co/bIJI8Mso3f @diversebooks @ReadWhileWhite
127,19234329,704369007961374720,@colbysharp You're welcome! Do you do critical content analysis work with kids? If I was still teaching K or 1
128,19234329,704369440767369216,@colbysharp I did teach kindergarten
129,19234329,704383252685987840,?? Dear Scholastic: I am looking for books by or about Native peoples. When I looked through...  https://t.co/nmlV2UB7Sb #StepUpScholastic
130,19234329,704397127720407040,RT @LeslieMac: I wish Supremacy had been the butt of all the jokes instead of Black people &amp; the Black Struggle. #PunchUpNotDown  https://t?
131,19234329,704415888280170496,@jfkeeler @apihtawikosisan @My2Braids I'd like Scholastic to hear from Native ppl. Can you tweet re this campaign?  https://t.co/MYVJjpZzBi
132,19234329,704416136096411648,@jfkeeler @apihtawikosisan @My2Braids Here's one letter: https://t.co/yJ3kDN3Nbz
133,19234329,704416622916669441,@jfkeeler @apihtawikosisan @My2Braids We doing a #StepUpScholastic chat tonight at 7 PM Eastern but letters anytime.
134,19234329,704417589028454401,Over 400 bks in Feb2016 Scholastic flyers
135,19234329,704422550441369600,RT @My2Braids: As a former teacher in DC
136,19234329,704428143851892737,RT @My2Braids: Now as a #NativeParent
137,19234329,704428190496792577,@My2Braids Thank you!
138,19234329,704428302266535937,RT @Alhakofi: What a great effort! #StepUpScholastic! #WeNeedDiverseBooks! Our kids need to read books about people like them! @debreese
139,19234329,704433666332581888,@mays_kyle Kyle. I know you care abt representation. How abt writing a letter to Scholastic? Some info here: https://t.co/RTaqAomgX9
140,19234329,704433895131869188,RT @180099native: #IdleNoMore co-founder Sylvia McAdam joins us on our airwaves tomorrow. Tune in to hear more about her dedication and wor?
141,19234329,704444581677367297,Nothing like "part Native" librarians finding nothing wrong w/ stories abt "the First Thanksgiving." My comments? "Censorship!" "PC!".
142,19234329,704448080377085953,RT @apihtawikosisan: Great campaign to promote diversity in books promoted at school kids: https://t.co/zEMLzl3Ml9 #StepUpScholastic Please?
